fall,winter,spring,summer,,,,,,
873,375,418,610,,,,,,
745,509,552,924,,,,,,
744,622,1064,1582,,,,,,
658,456,913,1369,,,,,,
512,264,576,936,,,,,,
317,181,304,712,,,,,,
270,118,232,528,,,,,,
219,70,155,384,,,,,,
145,47,61,227,,,,,,
172,27,22,104,,,,,,
115,18,5,84,,,,,,
61,5,9,29,,,,,,
53,4,0,7,,,,,,
30,4,4,14,,,,,,
12,35,61,94,,,,,,
5,81,231,117,,,,,,
24,196,586,469,,,,,,
77,397,1007,1170,,,,,,
182,277,495,761,,,,,,
417,220,219,399,,,,,,
628,242,296,486,,,,,,
771,308,337,650,,,,,,
929,371,344,601,,,,,,
948,410,344,634,,,,,,
910,397,465,742,,,,,,
919,361,663,815,,,,,,
892,277,1173,1535,,,,,,
861,196,972,1086,,,,,,
694,112,561,858,,,,,,
375,99,343,692,,,,,,
281,82,257,468,,,,,,
208,50,153,386,,,,,,
135,40,69,317,,,,,,
78,28,37,222,,,,,,
34,21,9,126,,,,,,
19,13,7,42,,,,,,
13,9,6,26,,,,,,
3,9,6,9,,,,,,
10,1,52,26,,,,,,
87,2,208,70,,,,,,
289,10,559,196,,,,,,
817,16,956,452,,,,,,
1021,28,478,718,,,,,,
524,44,90,878,,,,,,
366,83,81,1005,,,,,,
416,128,313,1073,,,,,,
462,158,461,1102,,,,,,
491,158,464,1170,,,,,,
457,138,612,1181,,,,,,
569,134,838,997,,,,,,
882,117,1268,1067,,,,,,
1594,79,983,911,,,,,,
1205,70,630,856,,,,,,
670,29,356,800,,,,,,
396,38,270,600,,,,,,
241,39,221,430,,,,,,
156,20,181,364,,,,,,
78,11,135,263,,,,,,
26,12,97,199,,,,,,
2,11,60,102,,,,,,
8,1,33,54,,,,,,
5,0,15,23,,,,,,
11,8,16,32,,,,,,
96,10,49,69,,,,,,
327,7,126,158,,,,,,
892,21,311,325,,,,,,
1296,45,622,531,,,,,,
529,108,905,842,,,,,,
341,189,1306,915,,,,,,
376,231,1499,1137,,,,,,
505,307,1616,1182,,,,,,
451,293,1557,1140,,,,,,
445,294,1625,1111,,,,,,
517,250,1467,1089,,,,,,
805,118,1336,996,,,,,,
1565,72,1089,940,,,,,,
1189,55,761,806,,,,,,
701,32,531,735,,,,,,
435,38,396,484,,,,,,
358,23,365,287,,,,,,
195,19,274,201,,,,,,
106,21,154,83,,,,,,
64,6,85,35,,,,,,
16,7,61,7,,,,,,
5,0,31,12,,,,,,
5,2,11,11,,,,,,
12,7,7,114,,,,,,
91,20,23,369,,,,,,
291,34,70,943,,,,,,
825,53,216,1142,,,,,,
1203,115,333,526,,,,,,
541,117,457,410,,,,,,
329,174,571,539,,,,,,
361,189,634,642,,,,,,
446,213,662,660,,,,,,
503,204,563,650,,,,,,
421,260,613,755,,,,,,
506,280,533,1130,,,,,,
820,183,519,1834,,,,,,
1487,151,366,1536,,,,,,
1138,115,260,1104,,,,,,
682,81,157,762,,,,,,
385,64,135,521,,,,,,
274,42,104,366,,,,,,
190,23,56,241,,,,,,
102,15,37,115,,,,,,
29,11,8,20,,,,,,
23,2,3,16,,,,,,
8,0,0,2,,,,,,
10,3,8,14,,,,,,
15,32,51,136,,,,,,
83,101,234,438,,,,,,
282,214,539,1038,,,,,,
813,353,885,1588,,,,,,
1276,315,439,763,,,,,,
578,224,264,467,,,,,,
342,290,342,567,,,,,,
349,351,443,629,,,,,,
307,426,507,609,,,,,,
207,481,576,601,,,,,,
168,533,739,626,,,,,,
284,598,928,1068,,,,,,
608,691,1656,1879,,,,,,
1202,461,1428,1492,,,,,,
996,272,997,1006,,,,,,
608,179,610,791,,,,,,
393,115,356,522,,,,,,
362,91,208,430,,,,,,
205,45,109,198,,,,,,
132,22,55,85,,,,,,
50,12,22,25,,,,,,
26,7,14,13,,,,,,
13,3,9,4,,,,,,
15,8,8,13,,,,,,
11,42,72,128,,,,,,
66,131,313,404,,,,,,
226,298,833,1068,,,,,,
707,514,1019,1411,,,,,,
1138,395,288,631,,,,,,
559,337,165,387,,,,,,
363,375,214,518,,,,,,
438,471,254,613,,,,,,
540,476,368,605,,,,,,
551,409,407,614,,,,,,
548,480,636,690,,,,,,
654,603,866,1081,,,,,,
1020,684,1591,1856,,,,,,
1361,456,1312,1568,,,,,,
907,264,798,1018,,,,,,
521,138,487,882,,,,,,
346,126,386,635,,,,,,
228,95,218,446,,,,,,
204,50,109,198,,,,,,
135,17,43,75,,,,,,
102,15,19,30,,,,,,
85,6,10,13,,,,,,
66,0,1,6,,,,,,
29,1,9,9,,,,,,
12,13,87,127,,,,,,
21,37,318,415,,,,,,
35,124,843,999,,,,,,
108,175,1231,1359,,,,,,
245,177,575,606,,,,,,
441,161,373,401,,,,,,
637,189,463,490,,,,,,
874,276,640,587,,,,,,
1061,258,639,595,,,,,,
1117,306,578,567,,,,,,
1121,389,731,689,,,,,,
1197,494,996,969,,,,,,
1100,594,1689,1581,,,,,,
977,392,1420,1429,,,,,,
766,238,899,1055,,,,,,
499,124,530,835,,,,,,
356,121,366,527,,,,,,
324,89,225,375,,,,,,
258,58,104,206,,,,,,
184,18,35,106,,,,,,
158,20,11,54,,,,,,
150,15,3,41,,,,,,
141,3,2,15,,,,,,
76,1,6,17,,,,,,
30,24,72,104,,,,,,
36,96,269,359,,,,,,
77,223,738,832,,,,,,
151,402,1170,1317,,,,,,
350,307,515,679,,,,,,
624,215,352,522,,,,,,
811,282,353,620,,,,,,
953,291,462,691,,,,,,
896,367,474,684,,,,,,
998,333,512,670,,,,,,
1081,411,564,835,,,,,,
1048,392,763,1115,,,,,,
1049,327,1329,1394,,,,,,
1025,248,1097,1043,,,,,,
467,157,592,868,,,,,,
231,118,433,658,,,,,,
185,83,289,476,,,,,,
143,57,180,391,,,,,,
126,57,103,261,,,,,,
96,39,35,189,,,,,,
52,30,11,121,,,,,,
17,8,6,84,,,,,,
4,14,0,36,,,,,,
6,2,8,18,,,,,,
16,3,38,38,,,,,,
81,10,120,76,,,,,,
277,29,122,167,,,,,,
817,92,279,344,,,,,,
1003,150,130,561,,,,,,
581,261,37,780,,,,,,
352,295,40,930,,,,,,
422,338,53,940,,,,,,
544,321,104,942,,,,,,
487,328,182,829,,,,,,
534,278,195,725,,,,,,
652,255,411,498,,,,,,
986,212,763,752,,,,,,
1526,144,615,734,,,,,,
1031,126,144,790,,,,,,
535,91,154,642,,,,,,
324,76,125,555,,,,,,
233,57,128,366,,,,,,
159,58,93,292,,,,,,
87,77,63,176,,,,,,
38,80,45,167,,,,,,
16,62,27,98,,,,,,
5,18,19,47,,,,,,
12,5,5,12,,,,,,
9,5,9,29,,,,,,
91,8,50,79,,,,,,
322,24,122,173,,,,,,
950,53,230,342,,,,,,
1344,108,488,568,,,,,,
622,168,715,796,,,,,,
332,248,862,937,,,,,,
396,375,936,1028,,,,,,
487,420,963,1070,,,,,,
436,522,1028,1136,,,,,,
390,546,1008,1115,,,,,,
518,390,1033,1031,,,,,,
827,301,906,990,,,,,,
1609,184,619,887,,,,,,
1166,162,429,925,,,,,,
683,110,261,787,,,,,,
466,91,197,575,,,,,,
316,60,167,378,,,,,,
209,46,139,237,,,,,,
125,45,163,114,,,,,,
59,22,77,72,,,,,,
9,6,78,44,,,,,,
3,1,27,6,,,,,,
3,2,9,15,,,,,,
10,10,13,73,,,,,,
104,20,244,232,,,,,,
348,33,173,520,,,,,,
991,41,251,734,,,,,,
1301,50,592,694,,,,,,
576,76,811,784,,,,,,
308,119,995,897,,,,,,
464,103,1218,985,,,,,,
517,94,1257,952,,,,,,
494,85,1427,1123,,,,,,
461,98,1342,1184,,,,,,
598,143,1333,1208,,,,,,
938,171,1209,1273,,,,,,
1689,150,940,1094,,,,,,
1317,114,656,1005,,,,,,
789,95,397,856,,,,,,
474,77,231,675,,,,,,
350,50,174,438,,,,,,
230,33,97,315,,,,,,
90,13,39,230,,,,,,
82,5,19,133,,,,,,
68,2,10,90,,,,,,
8,0,5,42,,,,,,
8,2,6,11,,,,,,
15,47,78,42,,,,,,
77,89,275,91,,,,,,
304,130,719,184,,,,,,
844,178,1039,351,,,,,,
1385,57,559,663,,,,,,
614,37,473,921,,,,,,
373,52,537,1021,,,,,,
407,82,621,1075,,,,,,
530,125,528,1160,,,,,,
493,129,519,1278,,,,,,
363,221,669,1159,,,,,,
513,391,974,955,,,,,,
925,766,1542,852,,,,,,
1613,637,1165,967,,,,,,
1251,338,648,1108,,,,,,
753,195,193,965,,,,,,
545,142,102,1061,,,,,,
388,97,88,835,,,,,,
265,36,60,209,,,,,,
134,16,53,106,,,,,,
66,8,6,36,,,,,,
41,6,7,30,,,,,,
39,1,4,10,,,,,,
8,8,10,16,,,,,,
14,66,84,93,,,,,,
98,234,312,306,,,,,,
271,633,805,677,,,,,,
773,945,1230,976,,,,,,
1233,423,394,422,,,,,,
626,113,338,262,,,,,,
382,194,462,462,,,,,,
462,276,557,606,,,,,,
589,299,597,629,,,,,,
621,341,585,586,,,,,,
658,403,693,717,,,,,,
723,588,1054,1002,,,,,,
1060,963,1744,1540,,,,,,
1549,738,1414,1250,,,,,,
1041,422,926,281,,,,,,
635,205,619,166,,,,,,
380,167,431,169,,,,,,
317,89,242,153,,,,,,
227,47,99,92,,,,,,
167,23,49,48,,,,,,
102,9,24,16,,,,,,
88,2,10,16,,,,,,
63,2,5,5,,,,,,
16,2,8,5,,,,,,
21,61,100,30,,,,,,
19,208,338,92,,,,,,
41,547,995,131,,,,,,
127,849,1300,272,,,,,,
295,416,643,161,,,,,,
459,174,409,94,,,,,,
673,211,500,114,,,,,,
811,230,658,256,,,,,,
964,260,693,304,,,,,,
1107,222,680,411,,,,,,
1090,283,732,390,,,,,,
1107,428,1040,706,,,,,,
1107,777,1713,1255,,,,,,
1000,611,1458,1130,,,,,,
720,376,830,825,,,,,,
467,237,522,459,,,,,,
312,136,385,244,,,,,,
248,106,321,255,,,,,,
254,44,132,138,,,,,,
212,19,48,70,,,,,,
145,5,15,31,,,,,,
138,7,6,25,,,,,,
23,2,2,3,,,,,,
11,3,8,12,,,,,,
9,50,79,88,,,,,,
10,150,262,291,,,,,,
55,439,814,697,,,,,,
121,787,937,1210,,,,,,
300,406,89,660,,,,,,
563,159,41,443,,,,,,
